service_id,date,exception_type
WK,20120819,2
WK,20120820,1
WK,20120821,1
WK,20120822,1
WK,20120823,1
WK,20120824,1
WK,20120825,2
WK,20120826,2
WK,20120827,1
WK,20120828,1
WK,20120829,1
WK,20120830,1
WK,20120831,1
WK,20120901,2
WK,20120902,2
WK,20120903,2
WK,20120904,1
WK,20120905,1
WK,20120906,1
WK,20120907,1
WK,20120908,2
WK,20120909,2
WK,20120910,1
WK,20120911,1
WK,20120912,1
WK,20120913,1
WK,20120914,1
WK,20120915,2
WK,20120916,2
WK,20120917,1
WK,20120918,1
WK,20120919,1
WK,20120920,1
WK,20120921,1
WK,20120922,2
WK,20120923,2
WK,20120924,1
WK,20120925,1
WK,20120926,1
WK,20120927,1
WK,20120928,1
WK,20120929,2
WK,20120930,2
WK,20121001,1
WK,20121002,1
WK,20121003,1
WK,20121004,1
WK,20121005,1
WK,20121006,2
WK,20121007,2
WK,20121008,1
WK,20121009,1
WK,20121010,1
WK,20121011,1
WK,20121012,1
WK,20121013,2
WK,20121014,2
WK,20121015,1
WK,20121016,1
WK,20121017,1
WK,20121018,1
WK,20121019,1
WK,20121020,2
WK,20121021,2
WK,20121022,1
WK,20121023,1
WK,20121024,1
WK,20121025,1
WK,20121026,1
WK,20121027,2
WK,20121028,2
WK,20121029,1
WK,20121030,1
WK,20121031,1
WK,20121101,1
WK,20121102,1
WK,20121103,2
WK,20121104,2
WK,20121105,1
WK,20121106,1
WK,20121107,1
WK,20121108,1
WK,20121109,1
WK,20121110,2
WK,20121111,2
WK,20121112,1
WK,20121113,1
WK,20121114,1
WK,20121115,1
WK,20121116,1
WK,20121117,2
WK,20121118,2
WK,20121119,1
WK,20121120,1
WK,20121121,1
WK,20121122,2
WK,20121123,1
WK,20121124,2
WK,20121125,2
WK,20121126,1
WK,20121127,1
WK,20121128,1
WK,20121129,1
WK,20121130,1
WK,20121201,2
WK,20121202,2
WK,20121203,1
WK,20121204,1
WK,20121205,1
WK,20121206,1
WK,20121207,1
WK,20121208,2
WK,20121209,2
WK,20121210,1
WK,20121211,1
WK,20121212,1
WK,20121213,1
WK,20121214,1
WK,20121215,2
WK,20121216,2
WK,20121217,1
WK,20121218,1
WK,20121219,1
WK,20121220,1
WK,20121221,1
WK,20121222,2
WK,20121223,2
WK,20121224,1
WK,20121225,2
WK,20121226,1
WK,20121227,1
WK,20121228,1
WK,20121229,2
WK,20121230,2
WK,20121231,1
WK,20130101,2
WK,20130102,1
WK,20130103,1
WK,20130104,1
WK,20130105,2
SA,20120819,2
SA,20120820,2
SA,20120821,2
SA,20120822,2
SA,20120823,2
SA,20120824,2
SA,20120825,1
SA,20120826,2
SA,20120827,2
SA,20120828,2
SA,20120829,2
SA,20120830,2
SA,20120831,2
SA,20120901,1
SA,20120902,2
SA,20120903,2
SA,20120904,2
SA,20120905,2
SA,20120906,2
SA,20120907,2
SA,20120908,1
SA,20120909,2
SA,20120910,2
SA,20120911,2
SA,20120912,2
SA,20120913,2
SA,20120914,2
SA,20120915,1
SA,20120916,2
SA,20120917,2
SA,20120918,2
SA,20120919,2
SA,20120920,2
SA,20120921,2
SA,20120922,1
SA,20120923,2
SA,20120924,2
SA,20120925,2
SA,20120926,2
SA,20120927,2
SA,20120928,2
SA,20120929,1
SA,20120930,2
SA,20121001,2
SA,20121002,2
SA,20121003,2
SA,20121004,2
SA,20121005,2
SA,20121006,1
SA,20121007,2
SA,20121008,2
SA,20121009,2
SA,20121010,2
SA,20121011,2
SA,20121012,2
SA,20121013,1
SA,20121014,2
SA,20121015,2
SA,20121016,2
SA,20121017,2
SA,20121018,2
SA,20121019,2
SA,20121020,1
SA,20121021,2
SA,20121022,2
SA,20121023,2
SA,20121024,2
SA,20121025,2
SA,20121026,2
SA,20121027,1
SA,20121028,2
SA,20121029,2
SA,20121030,2
SA,20121031,2
SA,20121101,2
SA,20121102,2
SA,20121103,1
SA,20121104,2
SA,20121105,2
SA,20121106,2
SA,20121107,2
SA,20121108,2
SA,20121109,2
SA,20121110,1
SA,20121111,2
SA,20121112,2
SA,20121113,2
SA,20121114,2
SA,20121115,2
SA,20121116,2
SA,20121117,1
SA,20121118,2
SA,20121119,2
SA,20121120,2
SA,20121121,2
SA,20121122,2
SA,20121123,2
SA,20121124,1
SA,20121125,2
SA,20121126,2
SA,20121127,2
SA,20121128,2
SA,20121129,2
SA,20121130,2
SA,20121201,1
SA,20121202,2
SA,20121203,2
SA,20121204,2
SA,20121205,2
SA,20121206,2
SA,20121207,2
SA,20121208,1
SA,20121209,2
SA,20121210,2
SA,20121211,2
SA,20121212,2
SA,20121213,2
SA,20121214,2
SA,20121215,1
SA,20121216,2
SA,20121217,2
SA,20121218,2
SA,20121219,2
SA,20121220,2
SA,20121221,2
SA,20121222,1
SA,20121223,2
SA,20121224,2
SA,20121225,2
SA,20121226,2
SA,20121227,2
SA,20121228,2
SA,20121229,1
SA,20121230,2
SA,20121231,2
SA,20130101,2
SA,20130102,2
SA,20130103,2
SA,20130104,2
SA,20130105,1
SU,20120819,1
SU,20120820,2
SU,20120821,2
SU,20120822,2
SU,20120823,2
SU,20120824,2
SU,20120825,2
SU,20120826,1
SU,20120827,2
SU,20120828,2
SU,20120829,2
SU,20120830,2
SU,20120831,2
SU,20120901,2
SU,20120902,1
SU,20120903,1
SU,20120904,2
SU,20120905,2
SU,20120906,2
SU,20120907,2
SU,20120908,2
SU,20120909,1
SU,20120910,2
SU,20120911,2
SU,20120912,2
SU,20120913,2
SU,20120914,2
SU,20120915,2
SU,20120916,1
SU,20120917,2
SU,20120918,2
SU,20120919,2
SU,20120920,2
SU,20120921,2
SU,20120922,2
SU,20120923,1
SU,20120924,2
SU,20120925,2
SU,20120926,2
SU,20120927,2
SU,20120928,2
SU,20120929,2
SU,20120930,1
SU,20121001,2
SU,20121002,2
SU,20121003,2
SU,20121004,2
SU,20121005,2
SU,20121006,2
SU,20121007,1
SU,20121008,2
SU,20121009,2
SU,20121010,2
SU,20121011,2
SU,20121012,2
SU,20121013,2
SU,20121014,1
SU,20121015,2
SU,20121016,2
SU,20121017,2
SU,20121018,2
SU,20121019,2
SU,20121020,2
SU,20121021,1
SU,20121022,2
SU,20121023,2
SU,20121024,2
SU,20121025,2
SU,20121026,2
SU,20121027,2
SU,20121028,1
SU,20121029,2
SU,20121030,2
SU,20121031,2
SU,20121101,2
SU,20121102,2
SU,20121103,2
SU,20121104,1
SU,20121105,2
SU,20121106,2
SU,20121107,2
SU,20121108,2
SU,20121109,2
SU,20121110,2
SU,20121111,1
SU,20121112,2
SU,20121113,2
SU,20121114,2
SU,20121115,2
SU,20121116,2
SU,20121117,2
SU,20121118,1
SU,20121119,2
SU,20121120,2
SU,20121121,2
SU,20121122,1
SU,20121123,2
SU,20121124,2
SU,20121125,1
SU,20121126,2
SU,20121127,2
SU,20121128,2
SU,20121129,2
SU,20121130,2
SU,20121201,2
SU,20121202,1
SU,20121203,2
SU,20121204,2
SU,20121205,2
SU,20121206,2
SU,20121207,2
SU,20121208,2
SU,20121209,1
SU,20121210,2
SU,20121211,2
SU,20121212,2
SU,20121213,2
SU,20121214,2
SU,20121215,2
SU,20121216,1
SU,20121217,2
SU,20121218,2
SU,20121219,2
SU,20121220,2
SU,20121221,2
SU,20121222,2
SU,20121223,1
SU,20121224,2
SU,20121225,1
SU,20121226,2
SU,20121227,2
SU,20121228,2
SU,20121229,2
SU,20121230,1
SU,20121231,2
SU,20130101,1
SU,20130102,2
SU,20130103,2
SU,20130104,2
SU,20130105,2
